aX,aY,aZ,gX,gY,gZ
-0.245,0.024,1.229,12.756,39.795,25.391
0.010,0.021,0.570,-78.613,129.883,-0.183
0.272,-0.096,0.341,-94.055,89.539,-16.113
0.233,-0.026,0.638,9.888,-10.132,-4.517
0.143,0.030,1.085,56.335,-46.997,3.235
0.143,-0.063,1.248,53.284,-36.865,-0.977
0.181,0.031,1.559,46.021,-18.372,-0.854
0.088,0.029,1.615,59.814,16.113,1.770
0.113,0.030,1.365,-18.188,80.261,-3.418
0.147,-0.067,0.667,-46.753,76.172,-15.625
-0.004,-0.104,0.371,53.833,-8.850,1.709
0.184,-0.080,0.953,159.790,-99.304,7.996
0.172,-0.185,0.878,84.778,-15.686,-0.916
0.084,-0.184,0.371,-68.420,69.397,-5.798
0.125,-0.165,0.085,-182.068,137.817,-12.939
0.248,-0.263,-0.122,-146.057,86.792,-14.282
0.169,-0.211,-0.124,-163.513,48.523,-7.568
0.191,0.069,0.815,-27.039,-92.407,16.724
0.182,0.178,3.988,297.058,-401.184,57.495
-0.408,0.310,2.865,39.490,-122.131,62.317
-0.108,-0.057,0.559,-16.907,242.737,7.568
0.147,-0.009,0.278,-182.739,178.833,-15.686
0.253,-0.152,0.078,-3.906,50.720,-13.428
0.247,-0.153,0.103,-12.512,-0.488,-1.404
0.203,0.061,0.751,16.907,-42.175,10.803
0.221,0.134,1.476,127.991,-133.240,15.991
-0.086,-0.041,2.020,108.704,-99.426,8.850
0.041,0.083,1.615,11.902,-12.939,4.028
0.050,-0.096,1.232,15.076,71.899,-3.601
0.206,-0.089,1.007,-62.073,95.520,-14.160
0.208,-0.094,0.618,-52.490,73.669,-4.211
0.200,-0.067,0.429,18.311,20.386,7.263
0.190,-0.079,0.459,40.588,-13.062,8.423
0.072,-0.132,0.444,7.690,0.732,2.441
0.071,-0.170,0.285,-53.528,19.348,-1.831
0.104,-0.180,0.293,-91.248,23.865,-2.747
0.496,0.104,1.424,-9.949,-55.115,5.737
0.320,0.085,2.359,183.716,-202.209,28.870
-0.251,0.139,1.929,36.743,-92.102,30.151
-0.072,-0.058,0.734,-12.451,106.140,8.362
0.165,-0.025,0.491,-124.329,101.563,-11.230
0.303,-0.059,0.544,-16.418,32.166,-8.728
0.139,0.046,0.916,26.306,-26.428,0.305
0.149,0.009,1.137,43.701,-28.992,-2.991
0.119,-0.025,1.272,45.593,-28.259,-5.432
0.040,-0.122,1.194,38.330,-3.723,-1.648
0.048,-0.156,1.002,-2.197,26.306,-1.099
0.136,-0.141,0.753,-45.410,45.105,0.610
0.273,-0.112,0.508,-53.589,42.419,3.540
0.167,-0.000,0.615,-36.804,19.043,8.789
0.189,0.115,0.978,17.212,-25.574,12.878
0.164,0.079,1.120,56.946,-52.429,9.827
0.063,-0.053,1.175,40.833,-36.621,2.075
0.129,-0.183,1.133,25.513,-10.071,-3.296
0.120,-0.084,1.074,-3.174,4.333,3.540
0.116,-0.051,0.899,-18.311,15.320,7.507
0.165,-0.004,0.830,-21.545,18.188,6.348
0.154,0.051,0.880,-9.949,8.240,5.005
0.140,-0.010,0.946,9.827,-4.456,0.061
0.131,-0.086,0.999,19.714,-8.118,-3.357
0.126,-0.084,1.025,11.719,-5.066,-0.427
0.131,-0.057,0.979,-0.305,1.526,3.296
0.188,0.043,1.005,-5.005,4.517,5.615
0.151,0.165,1.363,27.039,-4.578,4.456
0.173,0.081,1.557,63.110,16.479,-5.005
0.106,-0.082,1.364,6.348,44.861,-11.841
0.124,-0.130,0.841,-10.254,52.490,-15.564
