aX,aY,aZ,gX,gY,gZ
-0.305,-0.234,0.790,128.479,-17.883,-8.606
-0.120,-0.249,1.551,-29.480,-25.330,-16.785
0.027,0.086,0.911,-29.541,-22.339,15.442
-0.024,-0.034,0.589,-1.953,11.780,0.549
-0.077,-0.118,0.887,20.264,2.563,-3.967
-0.071,-0.018,1.264,18.433,-13.306,4.089
-0.087,-0.065,1.340,0.061,26.062,-1.953
-0.039,0.016,1.223,-27.466,38.818,2.625
-0.011,-0.001,1.161,-41.077,54.199,2.747
0.067,0.027,0.664,-18.921,43.091,2.991
0.033,0.002,0.523,-3.357,19.958,1.465
0.027,0.024,0.618,4.272,-3.113,2.747
0.019,-0.002,0.634,10.864,-13.367,2.563
-0.001,-0.005,0.803,13.794,-22.888,2.197
-0.016,0.058,1.415,16.907,-30.884,3.235
-0.050,-0.039,1.195,24.048,-21.057,2.258
-0.043,-0.024,1.222,7.446,-4.456,1.648
-0.022,-0.002,1.090,-3.418,4.700,2.747
-0.015,-0.003,0.963,-4.639,8.972,2.808
-0.006,0.007,0.907,-3.601,11.658,2.441
-0.001,0.003,0.805,-2.563,11.353,2.014
-0.001,0.000,0.806,-0.244,6.653,1.892
-0.006,0.001,0.921,3.113,-0.977,2.014
-0.021,-0.001,1.024,7.080,-6.409,2.258
-0.028,-0.003,1.062,7.141,-6.836,2.258
-0.025,-0.004,1.008,4.639,-3.601,2.319
-0.032,-0.021,1.009,2.747,-0.061,2.319
-0.073,0.013,1.505,-2.319,5.188,2.991
-0.088,0.018,2.118,-7.629,23.987,4.700
-0.174,-0.291,2.208,-20.813,45.654,7.874
-0.079,0.243,2.241,-93.933,75.134,9.766
-0.110,0.076,1.541,-4.272,122.009,-2.625
-0.036,0.077,0.968,-0.183,167.664,-13.184
-0.062,-0.067,-0.585,21.179,194.275,-18.188
0.084,-0.100,-0.576,32.471,128.296,-13.733
0.078,-0.016,-0.008,-5.920,23.865,3.357
0.063,-0.063,-0.115,-39.124,37.354,8.850
0.116,-0.032,-0.296,-52.063,51.514,0.366
0.087,-0.149,-0.570,-32.104,17.029,2.808
0.055,-0.031,-0.337,5.249,-69.702,17.517
0.059,0.005,-0.118,18.921,-117.432,22.766
0.016,0.029,0.550,25.879,-174.927,28.198
-0.042,0.136,1.204,11.169,-205.383,28.870
-0.169,0.594,2.976,154.297,-246.399,30.151
-0.302,-0.091,0.213,300.781,-18.738,5.615
-0.331,0.016,0.615,-13.733,-3.357,-30.090
-0.042,0.104,1.896,-60.608,-99.182,-10.132
0.034,0.020,0.276,-15.808,24.597,5.737
-0.078,-0.276,0.319,6.226,40.222,-13.062
-0.083,-0.152,0.899,32.288,-44.373,13.855
-0.098,-0.071,1.394,16.357,-5.310,3.052
-0.046,-0.093,1.303,-23.560,29.297,5.798
0.010,0.105,1.228,-40.283,50.598,4.578
-0.031,-0.005,1.311,-46.631,65.247,3.174
0.085,0.036,0.540,-24.963,64.453,2.991
0.071,0.008,0.510,-14.771,46.936,0.610
0.056,0.021,0.365,3.540,7.690,2.197
0.039,-0.014,0.366,12.146,-14.648,1.953
0.038,0.011,0.776,8.911,-31.433,2.197
-0.009,0.010,1.095,20.935,-46.997,2.441
-0.037,0.022,1.540,32.776,-46.204,2.686
-0.077,-0.072,1.353,31.311,-29.358,2.502
-0.043,-0.040,1.231,3.906,-3.845,2.319
-0.030,-0.016,1.085,-8.484,8.423,3.113
-0.015,-0.007,0.966,-8.057,15.442,2.930
-0.005,-0.003,0.920,-7.263,20.142,2.625
-0.034,0.000,1.193,-10.254,23.987,2.686
-0.044,-0.037,1.541,-9.216,30.273,3.967
-0.004,-0.005,1.748,-7.812,38.330,6.287
-0.048,-0.073,1.475,-1.770,52.429,4.150
0.044,0.121,0.979,-22.400,71.411,1.770
0.043,0.004,0.381,5.127,81.543,-3.418
0.082,-0.006,0.002,19.531,69.275,-3.418
0.052,-0.058,-0.040,-3.418,6.226,0.183
0.051,-0.012,0.077,-13.855,-20.142,2.625
0.062,-0.008,0.300,-18.066,-43.152,4.761
0.026,0.019,0.487,-17.944,-66.589,4.883
0.024,0.045,0.957,-10.925,-88.989,4.089
-0.126,0.117,3.185,62.256,-155.884,10.620
-0.227,-0.073,1.455,131.897,-126.709,7.996
-0.125,-0.266,0.811,0.183,25.574,-24.292
-0.011,0.135,1.368,-26.855,-28.992,18.433
-0.020,-0.046,0.651,-10.010,5.493,7.019
-0.050,-0.048,0.716,7.141,11.841,-1.160
-0.064,-0.001,1.328,5.859,-4.578,5.127
-0.032,0.005,1.075,-5.432,21.484,1.404
-0.049,-0.017,1.209,-25.146,35.706,2.380
0.023,0.004,1.013,-26.855,46.326,2.747
0.051,-0.001,0.759,-10.620,29.724,3.418
0.031,0.011,0.668,0.305,8.362,2.014
0.016,0.005,0.737,6.775,-7.324,2.747
